helper: 0.0.0.0 2718  [5/29/2025, 23:25:14]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:23:40]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:23:46]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:27:00]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:27:00]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:27:08]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:27:22]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:27:23]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:27:29]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:31:34]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:31:34]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:31:40]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:32:51]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:32:51]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:32:56]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:37:50]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:37:50]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:37:54]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:38:58]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:38:58]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:39:04]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:42:41]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:42:41]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:42:47]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:45:07]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:45:07]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:45:12]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:46:53]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:46:53]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:46:59]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:48:17]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:48:18]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:48:38]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:48:38]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:48:46]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:50:47]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:50:47]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:50:53]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:52:17]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:52:17]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:53:57]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:53:57]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:54:05]
ERROR:  uncaughtException: %s [%s] Error: EPERM: operation not permitted, scandir '/Users/jwilliams27/Desktop/js9-3.9/tmp/a796f605-5f6f-4b6f-a4d2-4b0a10dd8b83'
    at Object.readdirSync (node:fs:1581:26)
    at rmkidsSync (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:336:11)
    at rmdirSync (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:329:7)
    at Function.rimrafSync [as sync] (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:308:62)
    at Timeout._onTimeout (/Users/jwilliams27/Desktop/js9-3.9/js9Helper.js:1028:10)
    at listOnTimeout (node:internal/timers:608:17)
    at process.processTimers (node:internal/timers:543:7) {
  errno: -1,
  code: 'EPERM',
  syscall: 'scandir',
  path: '/Users/jwilliams27/Desktop/js9-3.9/tmp/a796f605-5f6f-4b6f-a4d2-4b0a10dd8b83'
} Error: EPERM: operation not permitted, scandir '/Users/jwilliams27/Desktop/js9-3.9/tmp/a796f605-5f6f-4b6f-a4d2-4b0a10dd8b83'
    at Object.readdirSync (node:fs:1581:26)
    at rmkidsSync (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:336:11)
    at rmdirSync (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:329:7)
    at Function.rimrafSync [as sync] (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:308:62)
    at Timeout._onTimeout (/Users/jwilliams27/Desktop/js9-3.9/js9Helper.js:1028:10)
    at listOnTimeout (node:internal/timers:608:17)
    at process.processTimers (node:internal/timers:543:7)  [6/4/2025, 17:54:12]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 19:39:20]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 19:39:22]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 20:13:40]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 20:13:42]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 21:55:30]
